,device,price,brand,internal_memory,camera,battery,operating_system,display_size
0,Samsung Galaxy A04 64gb,Gs.1.530.000,Samsung,null,50 + 2 MP / 5 MP,5000 mAh,Android 12,6.5''
1,Nokia C2 2nd Edition,Gs.907.200,Nokia,ROM: 32 GB | RAM: 2 GB,5 MP / 2 MP,2400 mAh,Android GO 11,5.7'' FWVGA+
2,Samsung Galaxy Z Flip5,Gs.9.900.000,Samsung,ROM: 256 GB | RAM: 8 GB,12 + 12 MP / 10 MP,3700 mAh,Android 13,6.7''
3,ZTE Blade A71,Gs.722.925,Marca ZTE,ROM: 64 GB | RAM: 3 GB,16 + 8 + 2 MP / 8 MP,4000 mAh,Android 11,6.5''
4,Moto E13,Gs.842.400,Motorola,ROM: 64 GB | RAM: 2 GB,13 MP / 5 MP,5000 mAh,Android 11,6.5''
5,Motorola G13,Gs.1.620.000,Motorola,ROM: 128 GB | RAM: 4 GB,50 + 2 + 2 MP / 8 MP,5000 mAh,Android 11,6.5''
6,ZTE Blade A31 Lite,Gs.344.250,Marca ZTE,ROM: 32 GB | RAM: 1 GB,8 MP / 5 MP,2000 mAh,Android 9.0,5.0''
7,ZTE Blade A33s,Gs.702.000,Marca ZTE,ROM: 32 GB | RAM: 2 GB,5 MP / 2 MP,3000 mAh,Android 12,6.26''
8,Samsung Galaxy A04e 64gb,Gs.1.206.000,Samsung,ROM: 64 GB | RAM: 3 GB,13 + 2 MP / 5 MP,5000 mAh,Android 12,6.5''
9,Samsung Galaxy A24,Gs.2.880.000,Samsung,ROM: 128 GB | RAM: 4 GB,50 + 5 + 2 MP / 13 MP,5000 mAh,Android 13,6.5''
10,Samsung Galaxy S23,Gs.9.090.000,Samsung,ROM: 256 GB | RAM: 8 GB,50 + 10 + 12 MP / 12 MP,3900 mAh,Android 12,6.1''
11,Samsung Galaxy S23 Plus,Gs.10.080.000,Samsung,ROM: 256 GB | RAM: 8 GB,50 + 10 + 12 MP / 12 MP,4700 mAh,Android 12,6.6''
12,Samsung Galaxy S23 Ultra,Gs.13.860.000,Samsung,ROM: 512 GB | RAM: 12 GB,200 + 10 + 12 MP / 12 MP,5000 mAh,Android 12,6.8''
13,Nokia C2 2nd Edition,Gs.907.200,Nokia,ROM: 32 GB | RAM: 2 GB,5 MP / 2 MP,2400 mAh,Android GO 11,5.7'' FWVGA+
14,Samsung Galaxy Z Flip5,Gs.9.900.000,Samsung,ROM: 256 GB | RAM: 8 GB,12 + 12 MP / 10 MP,3700 mAh,Android 13,6.7''
15,ZTE Blade A71,Gs.722.925,Marca ZTE,ROM: 64 GB | RAM: 3 GB,16 + 8 + 2 MP / 8 MP,4000 mAh,Android 11,6.5''
16,Moto E13,Gs.842.400,Motorola,ROM: 64 GB | RAM: 2 GB,13 MP / 5 MP,5000 mAh,Android 11,6.5''
17,Motorola G13,Gs.1.620.000,Motorola,ROM: 128 GB | RAM: 4 GB,50 + 2 + 2 MP / 8 MP,5000 mAh,Android 11,6.5''
18,ZTE Blade A31 Lite,Gs.344.250,Marca ZTE,ROM: 32 GB | RAM: 1 GB,8 MP / 5 MP,2000 mAh,Android 9.0,5.0''
19,ZTE Blade A33s,Gs.702.000,Marca ZTE,ROM: 32 GB | RAM: 2 GB,5 MP / 2 MP,3000 mAh,Android 12,6.26''
20,Samsung Galaxy A04e 64gb,Gs.1.206.000,Samsung,ROM: 64 GB | RAM: 3 GB,13 + 2 MP / 5 MP,5000 mAh,Android 12,6.5''
21,Samsung Galaxy A24,Gs.2.880.000,Samsung,ROM: 128 GB | RAM: 4 GB,50 + 5 + 2 MP / 13 MP,5000 mAh,Android 13,6.5''
